date,state,fips,cases,deaths
3/6/2020,LIMA,15,1,0
3/7/2020,AREQUIPA,04,1,0
3/7/2020,LIMA,15,4,0
3/8/2020,LIMA,15,2,0
3/9/2020,HUANUCO,10,2,0
3/9/2020,LIMA,15,1,0
3/10/2020,LIMA,15,1,0
3/11/2020,AREQUIPA,04,1,0
3/11/2020,ICA,11,1,0
3/11/2020,LIMA,15,6,0
3/12/2020,LIMA,15,8,0
3/13/2020,CUSCO,08,1,0
3/13/2020,LIMA,15,9,0
3/14/2020,CALLAO,07,1,0
3/14/2020,LAMBAYEQUE,14,1,0
3/14/2020,LIMA,15,15,0
3/14/2020,PIURA,20,2,0
3/15/2020,ANCASH,02,1,0
3/15/2020,CALLAO,07,2,0
3/15/2020,LA LIBERTAD,13,1,0
3/15/2020,LAMBAYEQUE,14,2,0
3/15/2020,LIMA,15,22,0
3/16/2020,CALLAO,07,1,0
3/16/2020,LAMBAYEQUE,14,3,0
3/16/2020,LIMA,15,15,0
3/16/2020,LORETO,15,1,0
3/17/2020,CALLAO,07,1,0
3/17/2020,LA LIBERTAD,13,1,0
3/17/2020,LIMA,15,16,0
3/17/2020,LORETO,15,9,0
3/18/2020,ANCASH,02,1,0
3/18/2020,CUSCO,08,3,0
3/18/2020,LIMA,15,50,0
3/18/2020,LORETO,15,1,0
3/18/2020,MADRE DE DIOS,17,1,0
3/19/2020,ANCASH,02,2,0
3/19/2020,AREQUIPA,04,1,0
3/19/2020,JUNIN,12,2,0
3/19/2020,LIMA,15,56,0
3/19/2020,LORETO,15,1,0
3/20/2020,AREQUIPA,04,1,0
3/20/2020,CALLAO,07,1,0
3/20/2020,JUNIN,12,7,0
3/20/2020,LA LIBERTAD,13,2,0
3/20/2020,LAMBAYEQUE,14,2,0
3/20/2020,LIMA,15,26,0
3/20/2020,LORETO,15,2,0
3/20/2020,PIURA,20,15,0
3/21/2020,LIMA,15,27,0
3/21/2020,LORETO,15,2,0
3/21/2020,PIURA,20,1,0
3/22/2020,AREQUIPA,04,3,0
3/22/2020,CALLAO,07,1,0
3/22/2020,CUSCO,08,2,0
3/22/2020,ICA,11,1,0
3/22/2020,LIMA,15,32,0
3/23/2020,AREQUIPA,04,2,0
3/23/2020,CALLAO,07,1,0
3/23/2020,LA LIBERTAD,13,1,0
3/23/2020,LIMA,15,26,0
3/23/2020,TUMBES,24,3,0
3/24/2020,ANCASH,02,1,0
3/24/2020,AREQUIPA,04,1,0
3/24/2020,CAJAMARCA,06,1,0
3/24/2020,CALLAO,07,2,0
3/24/2020,CUSCO,08,4,0
3/24/2020,JUNIN,12,1,0
3/24/2020,LA LIBERTAD,13,1,0
3/24/2020,LAMBAYEQUE,14,4,0
3/24/2020,LIMA,15,47,0
3/24/2020,LORETO,15,2,0
3/25/2020,ANCASH,02,1,0
3/25/2020,AREQUIPA,04,5,0
3/25/2020,CALLAO,07,5,0
3/25/2020,ICA,11,1,0
3/25/2020,LA LIBERTAD,13,3,0
3/25/2020,LIMA,15,84,0
3/25/2020,PIURA,20,1,0
3/26/2020,CALLAO,07,2,0
