fips,date,state,cases,deaths
01,3/19/20,AMAZONAS,,
01,3/20/20,AMAZONAS,,
01,3/21/20,AMAZONAS,,
01,3/23/20,AMAZONAS,,
01,3/24/20,AMAZONAS,,
01,3/26/20,AMAZONAS,,
01,3/27/20,AMAZONAS,,
01,3/28/20,AMAZONAS,,
01,3/29/20,AMAZONAS,,
01,3/30/20,AMAZONAS,,
01,3/31/20,AMAZONAS,,
01,4/1/20,AMAZONAS,,
01,4/2/20,AMAZONAS,,
01,4/3/20,AMAZONAS,,
01,4/4/20,AMAZONAS,,
01,4/5/20,AMAZONAS,4,
01,4/6/20,AMAZONAS,5,
01,4/7/20,AMAZONAS,9,
01,4/8/20,AMAZONAS,14,
01,4/9/20,AMAZONAS,19,
01,4/10/20,AMAZONAS,19,
01,4/11/20,AMAZONAS,19,
01,4/12/20,AMAZONAS,26,
01,4/13/20,AMAZONAS,26,
01,4/14/20,AMAZONAS,34,
01,4/15/20,AMAZONAS,41,
01,4/16/20,AMAZONAS,44,
01,4/17/20,AMAZONAS,45,
01,4/18/20,AMAZONAS,48,
01,4/19/20,AMAZONAS,49,
01,4/20/20,AMAZONAS,52,
01,4/21/20,AMAZONAS,59,
01,4/22/20,AMAZONAS,62,
01,4/23/20,AMAZONAS,64,
01,4/24/20,AMAZONAS,70,
01,4/25/20,AMAZONAS,80,
01,4/26/20,AMAZONAS,89,
01,4/27/20,AMAZONAS,108,
01,4/28/20,AMAZONAS,140,
01,4/29/20,AMAZONAS,168,
01,4/30/20,AMAZONAS,210,
01,5/1/20,AMAZONAS,295,1
01,5/2/20,AMAZONAS,345,1
01,5/3/20,AMAZONAS,347,2
01,5/4/20,AMAZONAS,373,3
01,5/5/20,AMAZONAS,385,5
01,5/6/20,AMAZONAS,396,7
01,5/7/20,AMAZONAS,405,7
01,5/8/20,AMAZONAS,424,7
01,5/9/20,AMAZONAS,428,7
01,5/10/20,AMAZONAS,428,9
01,5/11/20,AMAZONAS,440,10
01,5/12/20,AMAZONAS,451,10
01,5/13/20,AMAZONAS,459,12
01,5/14/20,AMAZONAS,462,13
01,5/15/20,AMAZONAS,485,14
01,5/16/20,AMAZONAS,517,16
01,5/17/20,AMAZONAS,518,17
01,5/18/20,AMAZONAS,536,18
01,5/19/20,AMAZONAS,566,19
01,5/20/20,AMAZONAS,576,20
01,5/21/20,AMAZONAS,630,21
01,5/22/20,AMAZONAS,655,21
01,5/23/20,AMAZONAS,662,21
01,5/24/20,AMAZONAS,666,21
01,5/25/20,AMAZONAS,715,21
01,5/26/20,AMAZONAS,736,21
01,5/27/20,AMAZONAS,752,22
01,5/28/20,AMAZONAS,776,24
01,5/29/20,AMAZONAS,786,24
01,5/30/20,AMAZONAS,798,24
01,5/31/20,AMAZONAS,810,24
01,6/1/20,AMAZONAS,823,25
01,6/2/20,AMAZONAS,834,25
01,6/3/20,AMAZONAS,861,26
01,6/4/20,AMAZONAS,890,26
01,6/5/20,AMAZONAS,917,26
01,6/6/20,AMAZONAS,937,26
01,6/7/20,AMAZONAS,943,26
01,6/8/20,AMAZONAS,988,26
01,6/9/20,AMAZONAS,1048,26
01,6/10/20,AMAZONAS,1095,26
01,6/11/20,AMAZONAS,1132,27
01,6/12/20,AMAZONAS,1200,28
01,6/13/20,AMAZONAS,1252,28
01,6/14/20,AMAZONAS,1263,28
01,6/15/20,AMAZONAS,1448,29
01,6/16/20,AMAZONAS,1479,29
01,6/17/20,AMAZONAS,1522,30
01,6/18/20,AMAZONAS,1551,31
01,6/19/20,AMAZONAS,1593,32
01,6/20/20,AMAZONAS,1625,32
01,6/21/20,AMAZONAS,1638,33
01,6/22/20,AMAZONAS,1674,33
01,6/23/20,AMAZONAS,1710,33
01,6/24/20,AMAZONAS,1845,33
02,3/19/20,ANCASH,4,
02,3/20/20,ANCASH,4,
02,3/21/20,ANCASH,4,
02,3/23/20,ANCASH,4,
02,3/24/20,ANCASH,5,
02,3/26/20,ANCASH,6,
02,3/27/20,ANCASH,6,
02,3/28/20,ANCASH,6,1
02,3/29/20,ANCASH,11,1
02,3/30/20,ANCASH,11,1
02,3/31/20,ANCASH,13,1
02,4/1/20,ANCASH,13,1
02,4/2/20,ANCASH,15,1
02,4/3/20,ANCASH,16,1
02,4/4/20,ANCASH,25,1
02,4/5/20,ANCASH,32,2
02,4/6/20,ANCASH,45,2
02,4/7/20,ANCASH,71,5
02,4/8/20,ANCASH,81,7
02,4/9/20,ANCASH,94,7
02,4/10/20,ANCASH,110,7
02,4/11/20,ANCASH,136,7
02,4/12/20,ANCASH,143,8
02,4/13/20,ANCASH,163,9
02,4/14/20,ANCASH,191,12
02,4/15/20,ANCASH,234,15
02,4/16/20,ANCASH,272,18
02,4/17/20,ANCASH,298,19
02,4/18/20,ANCASH,355,23
02,4/19/20,ANCASH,365,30
02,4/20/20,ANCASH,400,34
02,4/21/20,ANCASH,446,35
02,4/22/20,ANCASH,476,36
02,4/23/20,ANCASH,524,43
